Room;Nom de la partie;Date / Partie;Format de jeu;Variante;Grosse blinde;Tapis;Position;Main de départ du héros;FLOP;TURN;RIVER;Equité;Vilain;Cartes de Vilain;Pot;Net;Net Ev;Ecart d'EV;
WINAMAX;Expresso;2026-06-09 15:52:25.0;2;NO_LIMIT_HOLD_EM;60;675;Grosse blinde;Kd Jd;9h 9c 5d;Js ;2s ;72;Cocochanel23;Jh 5h ;1350;675;295,52;379,48;
WINAMAX;Expresso;2026-06-09 15:51:01.0;2;NO_LIMIT_HOLD_EM;40;655;Grosse blinde;Jd 5c;Tc 9h 9d;5d ;7s ;;Cocochanel23;6h 4c ;240;120;120;0;
WINAMAX;Expresso;2026-06-09 15:47:47.0;3;NO_LIMIT_HOLD_EM;20;500;Grosse blinde;Td 6s;Qh Js 6d;9h ;Ks ;;Cocochanel23;;176;88;88;0;
WINAMAX;Expresso;2026-06-09 15:51:30.0;2;NO_LIMIT_HOLD_EM;40;675;Petite Blinde;Th 4h;3d 9h 3h;7d ;;;Cocochanel23;;160;80;80;0;
WINAMAX;Expresso;2026-06-09 15:52:11.0;2;NO_LIMIT_HOLD_EM;60;645;Grosse blinde;As Kd;;;;;Cocochanel23;;120;60;60;0;
WINAMAX;Expresso;2026-06-09 15:52:00.0;2;NO_LIMIT_HOLD_EM;40;635;Grosse blinde;Ad 9d;;;;;Cocochanel23;;80;40;40;0;
WINAMAX;Expresso;2026-06-09 15:50:05.0;2;NO_LIMIT_HOLD_EM;30;790;Grosse blinde;5d 5s;;;;;Cocochanel23;;60;30;30;0;
WINAMAX;Expresso;2026-06-09 15:49:25.0;2;NO_LIMIT_HOLD_EM;30;440;Grosse blinde;Ad 4c;5h Qh 2h;3s ;Th ;53;Cocochanel23;Qs 9s ;880;440;29,48;410,52;
WINAMAX;Expresso;2026-06-09 15:52:36.0;2;NO_LIMIT_HOLD_EM;60;1350;Petite Blinde;3d 3c;4c Qc 2d;Th ;Js ;51;Cocochanel23;9c 7s ;300;150;1,91;148,09;
WINAMAX;Expresso;2026-06-09 15:47:36.0;3;NO_LIMIT_HOLD_EM;20;500;Bouton;7s 4c;;;;;KrtASmuertAS;;40;0;0;0;
WINAMAX;Expresso;2026-06-09 15:48:20.0;3;NO_LIMIT_HOLD_EM;20;588;Petite Blinde;Jc 5d;;;;;Cocochanel23;;50;-10;-10;0;
WINAMAX;Expresso;2026-06-09 15:50:22.0;2;NO_LIMIT_HOLD_EM;30;820;Petite Blinde;7s 5h;;;;;Cocochanel23;;30;-15;-15;0;
WINAMAX;Expresso;2026-06-09 15:51:56.0;2;NO_LIMIT_HOLD_EM;40;655;Petite Blinde;Td 5h;;;;;Cocochanel23;;40;-20;-20;0;
WINAMAX;Expresso;2026-06-09 15:51:47.0;2;NO_LIMIT_HOLD_EM;40;715;Petite Blinde;8c 4d;;;;;Cocochanel23;;40;-20;-20;0;
WINAMAX;Expresso;2026-06-09 15:51:12.0;2;NO_LIMIT_HOLD_EM;40;775;Petite Blinde;Ts 2c;;;;;Cocochanel23;;40;-20;-20;0;
WINAMAX;Expresso;2026-06-09 15:48:43.0;3;NO_LIMIT_HOLD_EM;20;538;Grosse blinde;7d 4d;5s Qh Tc;8h ;;;Cocochanel23;;40;-20;-20;0;
WINAMAX;Expresso;2026-06-09 15:52:21.0;2;NO_LIMIT_HOLD_EM;60;705;Petite Blinde;Th 4s;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:52:07.0;2;NO_LIMIT_HOLD_EM;60;675;Petite Blinde;6h 5c;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:50:27.0;2;NO_LIMIT_HOLD_EM;30;805;Grosse blinde;Jc 4c;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:49:50.0;2;NO_LIMIT_HOLD_EM;30;820;Petite Blinde;Ts 5d;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:49:45.0;2;NO_LIMIT_HOLD_EM;30;850;Grosse blinde;5c 2h;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:49:38.0;2;NO_LIMIT_HOLD_EM;30;880;Petite Blinde;Jc 9d;;;;;Cocochanel23;;60;-30;-30;0;
WINAMAX;Expresso;2026-06-09 15:51:51.0;2;NO_LIMIT_HOLD_EM;40;695;Grosse blinde;Tc 5h;;;;;Cocochanel23;;80;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:51:43.0;2;NO_LIMIT_HOLD_EM;40;755;Grosse blinde;5h 4h;;;;;Cocochanel23;;80;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:50:54.0;2;NO_LIMIT_HOLD_EM;40;695;Petite Blinde;Ts 7h;Qd 4s 6h;;;;Cocochanel23;;80;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:50:49.0;2;NO_LIMIT_HOLD_EM;40;735;Grosse blinde;8h 3s;;;;;Cocochanel23;;80;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:50:40.0;2;NO_LIMIT_HOLD_EM;40;775;Petite Blinde;Kd 6s;;;;;Cocochanel23;;80;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:48:26.0;3;NO_LIMIT_HOLD_EM;20;578;Bouton;5d 5c;Qs 3d 8h;7c ;Ah ;;Cocochanel23;Ad 3s ;884;-40;-40;0;
WINAMAX;Expresso;2026-06-09 15:49:02.0;3;NO_LIMIT_HOLD_EM;20;518;Petite Blinde;Ad Js;9c 3h 5d;5c ;6d ;;Cocochanel23;7h 4h ;234;-78;-78;0;
WINAMAX;Expresso;2026-06-09 15:51:16.0;2;NO_LIMIT_HOLD_EM;40;755;Grosse blinde;Qs 5h;Js Ac Td;9c ;As ;;Cocochanel23;Jc 8h ;160;-80;-80;0;
